,Data Set,Algorithm,Central Prototype,Data Dimension,Center Dimension,Fold,Module Number,BSR,Size
209,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,3,0.5833333333333333,1327
210,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,4,0.75,1452
211,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,5,0.75,1230
212,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,6,0.5833333333333333,4072
213,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,7,0.5,1232
214,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,8,0.75,559
215,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,9,0.75,669
216,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,10,0.75,697
217,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,11,0.5833333333333333,1371
218,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,12,0.5833333333333333,1509
219,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,13,0.5833333333333333,938
220,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,14,0.75,684
221,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,15,0.75,990
222,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,16,0.5833333333333333,1214
223,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,17,0.75,1284
224,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,18,0.75,970
225,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,19,0.5,2832
226,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,0,0.7543859649122806,111
227,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,1,0.7543859649122806,46
228,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,2,0.9444444444444444,795
229,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,3,1.0,846
230,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,4,0.9181286549707601,1039
231,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,5,0.9736842105263157,1145
232,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,6,0.9181286549707601,1077
233,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,7,0.9444444444444444,1022
234,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,8,0.7836257309941521,272
235,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,9,0.8918128654970761,2454
236,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,10,0.8918128654970761,1553
237,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,11,0.8099415204678362,97
238,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,12,0.9444444444444444,704
239,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,13,0.9736842105263157,524
240,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,14,0.9444444444444444,1473
241,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,15,0.9181286549707601,1564
242,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,16,0.9444444444444444,1285
243,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,17,0.9444444444444444,565
244,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,18,0.9181286549707601,399
245,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,19,0.8918128654970761,1291
246,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,20,0.8128654970760234,115
247,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,21,0.9736842105263157,797
248,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,22,0.7514619883040936,120
249,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,23,0.9444444444444444,840
250,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,24,0.9444444444444444,720
251,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,1,25,0.9444444444444444,1423
252,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,3,0,0.9444444444444444,612
253,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,3,1,0.9722222222222222,666
254,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,3,2,0.6944444444444444,111
255,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,3,3,0.9722222222222222,535
256,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,3,4,0.9444444444444444,637
257,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,3,5,0.9444444444444444,1608
258,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,3,6,0.9166666666666666,943
259,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,3,7,1.0,637
260,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,3,8,1.0,891
261,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,3,9,0.6944444444444444,196
262,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,3,10,1.0,460
263,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,3,11,0.9444444444444444,1146
264,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,3,12,0.9166666666666666,451
265,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,3,13,0.9722222222222222,307
266,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,3,14,0.9444444444444444,1352
267,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,3,15,0.9444444444444444,928
268,gse73072_hrv_48_64_shedder48_64,WGCNA_LBG,eigengene,1,1,3,16,0.8611111111111112,437
